,url,address,neighborhood,rent,beds,baths,area,zip
0,https://www.renthop.com/listings/389-east-89th-street-new-york-ny-10128/22c/62911207,"389 East 89th Street, Apt 22C","Yorkville, Upper East Side, Upper Manhattan, Manhattan",9000,2,2.0,"1,262_Sqft",10128
1,https://www.renthop.com/listings/808-columbus-ave/11c/64446142,"808 Columbus Ave, Apt 11C","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",5596,1,1.0,643_Sqft,10025
2,https://www.renthop.com/listings/95-wall-street/604/64363654,"95 Wall Street, Apt 604","Financial District, Downtown Manhattan, Manhattan",4674,0,1.0,818_Sqft,10005
3,https://www.renthop.com/listings/95-wall-street/1123/64408140,"95 Wall Street, Apt 1123","Financial District, Downtown Manhattan, Manhattan",4916,1,1.0,818_Sqft,10005
4,https://www.renthop.com/listings/63-wall-street/na/64485715,63 Wall Street,"Financial District, Downtown Manhattan, Manhattan",4685,1,1.0,654_Sqft,10005
5,https://www.renthop.com/listings/775-columbus-ave/09c/64363614,"775 Columbus Avenue, Apt 09C","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",5592,1,1.0,657_Sqft,10019
6,https://www.renthop.com/listings/395-leonard-street/606/64294152,"395 Leonard Street, Apt 606","Williamsburg, Northern Brooklyn, Brooklyn",4436,1,1.0,665_Sqft,11211
7,https://www.renthop.com/listings/23-avenue-b/na/64272141,23 Avenue B,"Alphabet City, East Village, Downtown Manhattan, Manhattan",12700,5,3.0,,10009
8,https://www.renthop.com/listings/30-charlton-street/5d/64459437,"30 Charlton Street, Apt 5D","Hudson Square, SoHo, Downtown Manhattan, Manhattan",3500,0,1.0,,10014
9,https://www.renthop.com/listings/240-east-27th-street/na/63952258,240 East 27th Street,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",4800,1,1.0,800_Sqft,10016
10,https://www.renthop.com/listings/244-west-109th-street/3c/64417887,"244 West 109th Street, Apt 3C","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",3100,2,1.0,,10025
11,https://www.renthop.com/listings/26-prince-street/14/64483430,"26 Prince Street, Apt 14","NoLita, Downtown Manhattan, Manhattan",3995,1,1.0,,10012
12,https://www.renthop.com/listings/401-e-34th-st/s12d/64116269,"401 E 34th St, Apt S12D","Murray Hill, Midtown Manhattan, Manhattan",4163,1,1.0,521_Sqft,10016
13,https://www.renthop.com/listings/east-13th-street/22/63488064,East 13th Street,"East Village, Downtown Manhattan, Manhattan",6095,2,2.0,,
14,https://www.renthop.com/listings/145-fourth-avenue/5g/64446743,"145 Fourth Avenue, Apt 5G","Greenwich Village, Downtown Manhattan, Manhattan",5600,1,1.0,892_Sqft,10003
15,https://www.renthop.com/listings/107-east-63rd-street/1c/64485724,"107 East 63rd Street, Apt 1C","Lenox Hill, Upper East Side, Upper Manhattan, Manhattan",4795,2,2.0,,10065
16,https://www.renthop.com/listings/531-e-20th-st/08-d/64475540,"531 E 20th St, Apt 08D","Stuyvesant Town - Peter Cooper Village, Midtown Manhattan, Manhattan",5944,1,1.0,,10010
17,https://www.renthop.com/listings/10-hanover-square/11u/64467256,"10 Hanover Square, Apt 11U","Financial District, Downtown Manhattan, Manhattan",3888,0,1.0,545_Sqft,10005
18,https://www.renthop.com/listings/651-e-14th-st/02-e/64428994,"651 E 14th St, Apt 02E","Stuyvesant Town - Peter Cooper Village, Midtown Manhattan, Manhattan",4719,1,1.0,,10009
19,https://www.renthop.com/listings/18-sixth-ave/na/64004407,18 6th Avenue,"Prospect Heights, Northwestern Brooklyn, Brooklyn",3410,0,1.0,,11217
20,https://www.renthop.com/listings/spacious-newly-renovated-2bed-2bath/6r/64361413,"Spacious, Newly Renovated 2Bed...","Yorkville, Upper East Side, Upper Manhattan, Manhattan",8000,2,2.0,"1,084_Sqft",
21,https://www.renthop.com/listings/east-87th-street/22r/64464735,East 87th Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",7925,2,2.0,"1,133_Sqft",
22,https://www.renthop.com/listings/325-east-89th-street-4e/4e/63826355,"325 East 89th Street, Apt 4E","Yorkville, Upper East Side, Upper Manhattan, Manhattan",3500,2,1.0,,10128
23,https://www.renthop.com/listings/401-e-34th-st/s12d/64116269,"401 E 34th St, Apt S12D","Murray Hill, Midtown Manhattan, Manhattan",4163,1,1.0,521_Sqft,10016
24,https://www.renthop.com/listings/628-west-151st-street/3b/64193532,"628 West 151st Street, Apt 3B","Hamilton Heights, West Harlem, Harlem, Upper Manhattan, Manhattan",3200,2,2.0,,10031
25,https://www.renthop.com/listings/east-13th-street/22/63488064,East 13th Street,"East Village, Downtown Manhattan, Manhattan",6095,2,2.0,,
26,https://www.renthop.com/listings/145-fourth-avenue/5g/64446743,"145 Fourth Avenue, Apt 5G","Greenwich Village, Downtown Manhattan, Manhattan",5600,1,1.0,892_Sqft,10003
27,https://www.renthop.com/listings/107-east-63rd-street/1c/64485724,"107 East 63rd Street, Apt 1C","Lenox Hill, Upper East Side, Upper Manhattan, Manhattan",4795,2,2.0,,10065
28,https://www.renthop.com/listings/531-e-20th-st/08-d/64475540,"531 E 20th St, Apt 08D","Stuyvesant Town - Peter Cooper Village, Midtown Manhattan, Manhattan",5944,1,1.0,,10010
29,https://www.renthop.com/listings/10-hanover-square/11u/64467256,"10 Hanover Square, Apt 11U","Financial District, Downtown Manhattan, Manhattan",3888,0,1.0,545_Sqft,10005
30,https://www.renthop.com/listings/225-east-79th-street/1c/64346816,"225 East 79th Street, Apt 1C","Yorkville, Upper East Side, Upper Manhattan, Manhattan",2600,0,1.0,,10075
31,https://www.renthop.com/listings/651-e-14th-st/02-e/64428994,"651 E 14th St, Apt 02E","Stuyvesant Town - Peter Cooper Village, Midtown Manhattan, Manhattan",4719,1,1.0,,10009
32,https://www.renthop.com/listings/18-sixth-ave/na/64004407,18 6th Avenue,"Prospect Heights, Northwestern Brooklyn, Brooklyn",3410,0,1.0,,11217
33,https://www.renthop.com/listings/w-42nd-street/45j/14994727,W 42nd Street.,"Hudson Yards, Midtown Manhattan, Manhattan",6400,3,2.0,,
34,https://www.renthop.com/listings/st-johns-place/st-johns-place/64179134,St. Johns place,"Crown Heights, Central Brooklyn, Brooklyn",3100,1,1.0,,
35,https://www.renthop.com/listings/west-57th-street/2503/64146689,West 57th Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",7340,2,2.0,1_Sqft,
36,https://www.renthop.com/listings/west-96th-street/10/15524247,West 96th Street,"Upper West Side, Upper Manhattan, Manhattan",7200,5,2.0,,
37,https://www.renthop.com/listings/401-e-34th-st/n09m/63935992,"401 E 34th St, Apt N09M","Murray Hill, Midtown Manhattan, Manhattan",4566,1,1.0,567_Sqft,10016
38,https://www.renthop.com/listings/2321-belmont-avenue/4c/64483202,"2321 Belmont Avenue, Apt 4C","Belmont, West Bronx, Bronx",2900,2,2.0,,10458
39,https://www.renthop.com/listings/151-west-16th-street/na/63845703,151 West 16th Street,"Chelsea, Midtown Manhattan, Manhattan",3695,0,1.0,550_Sqft,10011
40,https://www.renthop.com/listings/501-east-74th-street/17a/64485721,"501 East 74th Street, Apt 17A","Upper East Side, Upper Manhattan, Manhattan",10136,2,2.0,,10021
41,https://www.renthop.com/listings/333-east-84th-street/2ee/64123479,"333 East 84th Street, Apt 2EE","Yorkville, Upper East Side, Upper Manhattan, Manhattan",2850,1,1.0,750_Sqft,10028
42,https://www.renthop.com/listings/east-90th-street-and-2nd-ave/4c/64472863,East 90th Street and 2nd Ave,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3625,2,1.0,800_Sqft,
43,https://www.renthop.com/listings/532-east-82nd-street/na/64472206,532 East 82nd Street,"Yorkville, Upper East Side, Upper Manhattan, Manhattan",3300,2,1.0,,10028
44,https://www.renthop.com/listings/433-west-43rd-street-3d/3d/64485725,"433 West 43rd Street, Apt 3D","Hell's Kitchen, Midtown Manhattan, Manhattan",3700,2,1.0,,10036
45,https://www.renthop.com/listings/west-96th-street/10/15524247,West 96th Street,"Upper West Side, Upper Manhattan, Manhattan",7200,5,2.0,,
46,https://www.renthop.com/listings/339-east-77-street/4w/64417530,"339 East 77 Street, Apt 4W","Upper East Side, Upper Manhattan, Manhattan",2350,0,1.0,,10075
47,https://www.renthop.com/listings/401-e-34th-st/n09m/63935992,"401 E 34th St, Apt N09M","Murray Hill, Midtown Manhattan, Manhattan",4566,1,1.0,567_Sqft,10016
48,https://www.renthop.com/listings/2321-belmont-avenue/4c/64483202,"2321 Belmont Avenue, Apt 4C","Belmont, West Bronx, Bronx",2900,2,2.0,,10458
49,https://www.renthop.com/listings/1-christopher-street/7h/64405861,"1 Christopher Street, Apt 7H","West Village, Downtown Manhattan, Manhattan",8795,1,1.0,,10014
50,https://www.renthop.com/listings/151-west-16th-street/na/63845703,151 West 16th Street,"Chelsea, Midtown Manhattan, Manhattan",3695,0,1.0,550_Sqft,10011
51,https://www.renthop.com/listings/501-east-74th-street/17a/64485721,"501 East 74th Street, Apt 17A","Upper East Side, Upper Manhattan, Manhattan",10136,2,2.0,,10021
52,https://www.renthop.com/listings/333-east-84th-street/2ee/64123479,"333 East 84th Street, Apt 2EE","Yorkville, Upper East Side, Upper Manhattan, Manhattan",2850,1,1.0,750_Sqft,10028
53,https://www.renthop.com/listings/west-53rd-street/415/64146784,West 53rd Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",4195,1,1.0,,
54,https://www.renthop.com/listings/411-w-48th-street/5re/64459504,"411 W 48th Street, Apt 5RE","Hell's Kitchen, Midtown Manhattan, Manhattan",3700,2,1.0,,10036
55,https://www.renthop.com/listings/401-e-34th-st/n04e/63651379,"401 E 34th St, Apt N04E","Murray Hill, Midtown Manhattan, Manhattan",4839,1,1.0,675_Sqft,10016
56,https://www.renthop.com/listings/411-w-48th-street/5rw/64455136,"411 W 48th Street, Apt 5RW","Hell's Kitchen, Midtown Manhattan, Manhattan",2800,1,1.0,,10036
57,https://www.renthop.com/listings/2321-belmont-avenue/2b/64483045,"2321 Belmont Avenue, Apt 2B","Belmont, West Bronx, Bronx",2250,1,1.0,,10458
58,https://www.renthop.com/listings/east-25-street/7/64309245,East 25 Street,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3695,1,1.0,,
59,https://www.renthop.com/listings/east-25th-street/3rw/63440684,East 25th Street,"Rose Hill, Kips Bay, Midtown Manhattan, Manhattan",3650,1,1.0,,
60,https://www.renthop.com/listings/10-hanover-square/05l/64311729,"10 Hanover Square, Apt 05L","Financial District, Downtown Manhattan, Manhattan",4557,1,1.0,667_Sqft,10005
61,https://www.renthop.com/listings/w-42nd-street/15h/61230808,W 42nd Street,"Hudson Yards, Midtown Manhattan, Manhattan",3995,1,1.0,750_Sqft,
62,https://www.renthop.com/listings/808-columbus-ave/08j/64223594,"808 Columbus Avenue, Apt 08J","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",4603,0,1.0,424_Sqft,10025
63,https://www.renthop.com/listings/350-1st-ave/13-e/64419124,"350 1st Ave, Apt 13E","Stuyvesant Town - Peter Cooper Village, Midtown Manhattan, Manhattan",6145,1,1.0,,10010
64,https://www.renthop.com/listings/west-51-street/1e/64473098,West 51 Street,"Hell's Kitchen, Midtown Manhattan, Manhattan",3700,2,1.0,,
65,https://www.renthop.com/listings/west-45th-street-and-9th-ave/c/64473412,West 45th Street and 9th Ave,"Hell's Kitchen, Midtown Manhattan, Manhattan",3795,2,1.0,,
66,https://www.renthop.com/listings/w-42nd-street/15h/61230808,W 42nd Street,"Hudson Yards, Midtown Manhattan, Manhattan",3995,1,1.0,750_Sqft,
67,https://www.renthop.com/listings/1502-first-avenue/4c/64237372,"1502 First Avenue, Apt 4C","Upper East Side, Upper Manhattan, Manhattan",4995,3,1.0,,10075
68,https://www.renthop.com/listings/808-columbus-ave/08j/64223594,"808 Columbus Avenue, Apt 08J","Manhattan Valley, Upper West Side, Upper Manhattan, Manhattan",4603,0,1.0,424_Sqft,10025
69,https://www.renthop.com/listings/350-1st-ave/13-e/64419124,"350 1st Ave, Apt 13E","Stuyvesant Town - Peter Cooper Village, Midtown Manhattan, Manhattan",6145,1,1.0,,10010
70,https://www.renthop.com/listings/401-e-34th-st/s18x/63798092,"401 E 34th St, Apt S18X","Murray Hill, Midtown Manhattan, Manhattan",3472,0,1.0,432_Sqft,10016
71,https://www.renthop.com/listings/449-e-14th-st/06-b/64475532,"449 E 14th St, Apt 06B","Stuyvesant Town - Peter Cooper Village, Midtown Manhattan, Manhattan",4762,1,1.0,,10009
72,https://www.renthop.com/listings/305-west-13th-street/na/64123500,305 West 13th Street,"West Village, Downtown Manhattan, Manhattan",6700,2,1.0,"1,300_Sqft",10014
